2020.02.05,2020,2,5,USA,Board_Activity,Tiger,Unprovoked,U,U,N
2020.01.30.R,2020,1,30,BHS,Swimming_Activity,Unknown,Provoked,I,F,N
2020.01.17,2020,1,17,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
2020.01.16,2020,1,16,NZL,Board_Activity,Broad_Nose_Seven_Gill,Unprovoked,I,F,N
2020.01.13,2020,1,13,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2020.01.12,2020,1,12,OTH,Swimming_Activity,Unknown,Unprovoked,I,M,N
2020.01.07,2020,1,7,AUS,Swimming_Activity,Lemon,Unprovoked,I,F,N
2020.01.05,2020,1,5,AUS,Scuba_Diving_Activity,Great_White,Unprovoked,I,M,Y
2020.01.03,2020,1,3,NCL,Unknown_Activity,Unknown,Unprovoked,I,M,N
2020.01.02,2020,1,2,AUS,Falling_Into_Water,Unknown,Unknown,I,M,Y
2019.12.28,2019,12,28,OTH,Swimming_Activity,Unknown,Unprovoked,I,F,N
2019.12.26.b,2019,12,26,PNG,Spearfishing_Activity,Unknown,Unprovoked,I,M,Y
2019.12.26.a,2019,12,26,ZAF,Ski_Activity,Unknown,Unprovoked,I,M,N
2019.12.24,2019,12,24,NZL,Board_Activity,Unknown,Unprovoked,I,F,N
2019.12.21,2019,12,21,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2019.12.12,2019,12,12,OTH,Paddle_Boat_Activity,Tiger,Unknown,I,M,Y
2019.12.06,2019,12,6,AUS,Free_Diving_Activity,Unknown,Unprovoked,I,M,N
2019.12.03,2019,12,3,USA,Board_Activity,Tiger,Unprovoked,I,M,N
2019.11.30.b,2019,11,30,USA,Board_Activity,Oceanic_Blacktip,Unprovoked,I,M,N
2019.11.30.a,2019,11,30,AUS,Snorkeling_Activity,Unknown,Unprovoked,I,M,N
2019.11.23,2019,11,23,AUS,Spearfishing_Activity,Unknown,Unknown,I,M,Y
2019.11.23.R,2019,11,23,MEX,Fishing_Activity,Unknown,Provoked,I,M,N
2019.11.22,2019,11,22,OTH,Snorkeling_Activity,Unknown,Unprovoked,I,M,N
2019.11.14,2019,11,14,PYF,Feeding_Activity,Oceanic_Blacktip,Provoked,I,M,N
2019.11.12,2019,11,12,USA,Board_Activity,Oceanic_Blacktip,Unprovoked,I,M,N
2019.11.11,2019,11,11,MEX,Free_Diving_Activity,Unknown,Unprovoked,I,M,N
2019.11.09,2019,11,9,ZAF,Paddle_Boat_Activity,Great_White,Watercraft,I,M,N
2019.11.02,2019,11,2,OTH,Snorkeling_Activity,Tiger,Unknown,I,M,Y
2019.10.29,2019,10,29,AUS,Snorkeling_Activity,Tiger,Unprovoked,I,M,N
2019.10.27,2019,10,27,USA,Board_Activity,Unknown,Provoked,I,M,N
2019.10.21,2019,10,21,PYF,Snorkeling_Activity,Oceanic_Whitetip,Unprovoked,I,F,N
2019.10.17,2019,10,17,AUS,Board_Activity,Unknown,Unprovoked,I,F,N
2019.10.08,2019,10,8,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2019.10.05.b,2019,10,5,AUS,Board_Activity,Great_White,Unprovoked,I,M,N
2019.10.04.R,2019,10,4,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2019.09.28,2019,9,28,AUS,Fishing_Activity,Unknown,Provoked,I,M,N
2019.09.26,2019,9,26,USA,Board_Activity,Unknown,Unprovoked,I,F,N
2019.09.24.b,2019,9,24,USA,Swimming_Activity,Unknown,Unprovoked,I,M,N
2019.09.24.a,2019,9,24,USA,Board_Activity,Unknown,Unprovoked,I,M,N
