Case Number,Date,Year,Month,Day
2020.02.05,5-Feb-20,2020,2,5
2020.01.30.R,Reported 30-Jan-2020,2020,1,30
2020.01.17,17-Jan-20,2020,1,17
2020.01.16,16-Jan-20,2020,1,16
2020.01.13,13-Jan-20,2020,1,13
2020.01.12,12-Jan-20,2020,1,12
2020.01.07,7-Jan-20,2020,1,7
2020.01.05,5-Jan-20,2020,1,5
2020.01.03,3-Jan-20,2020,1,3
2020.01.02,2-Jan-20,2020,1,2
2019.12.28,28-Dec-19,2019,12,28
2019.12.26.b,26-Dec-19,2019,12,26
2019.12.26.a,26-Dec-19,2019,12,26
2019.12.24,24-Dec-19,2019,12,24
2019.12.21,21-Dec-19,2019,12,21
2019.12.20,20-Dec-19,2019,12,20
2019.12.12,12-Dec-19,2019,12,12
2019.12.06,6-Dec-19,2019,12,6
2019.12.03,3-Dec-19,2019,12,3
2019.11.30.b,30-Nov-19,2019,11,30
2019.11.30.a,30-Nov-19,2019,11,30
2019.11.23,23-Nov-19,2019,11,23
2019.11.23.R,23-Nov-19,2019,11,23
2019.11.22,22-Nov-19,2019,11,22
2019.11.14,14-Nov-19,2019,11,14
2019.11.12,11-Nov-19,2019,11,12
2019.11.11,11-Nov-19,2019,11,11
2019.11.09,9-Nov-19,2019,11,9
2019.11.02,2-Nov-19,2019,11,2
2019.10.29,29-Oct-19,2019,10,29
2019.10.27,27-Oct-19,2019,10,27
2019.10.21,21-Oct-19,2019,10,21
2019.10.17,17-Oct-19,2019,10,17
2019.10.08,8-Oct-19,2019,10,8
2019.10.05.b,5-Oct-19,2019,10,5
2019.10.08,8-Oct-19,2019,10,8
2019.10.04.R,Reported 04-Oct-2019,2019,10,4
2019.09.28,28-Sep-19,2019,9,28
2019.09.26,26-Sep-19,2019,9,26
2019.09.24.b,24-Sep-19,2019,9,24
2019.09.24.a,24-Sep-19,2019,9,24
2019.09.18,18-Sep-19,2019,9,18
2019.09.15,15-Sep-19,2019,9,15
2019.09.07,7-Sep-19,2019,9,7
2019.08.31.b,31-Aug-19,2019,8,31
2019.08.31.a,31-Aug-19,2019,8,31
2019.08.27,27-Aug-19,2019,8,27
2019.08.21,21-Aug-19,2019,8,21
2019.08.20,20-Aug-19,2019,8,20
2019.08.16,16-Aug-19,2019,8,16
2019.08.11,11-Aug-19,2019,8,11
2019.08.04,4-Aug-19,2019,8,4
2019.08.03.c,3-Aug-19,2019,8,3
2019.08.03.b,3-Aug-19,2019,8,3
2019.08.03.a,3-Aug-19,2019,8,3
2019.07.30,30-Jul-19,2019,7,30
2019.07.29,29-Jul-19,2019,7,29
2019.07.28,28-Jul-19,2019,7,28
2019.07.27.b,27-Jul-19,2019,7,27
2019.07.27.a,27-Jul-19,2019,7,27
2019.07.22,22-Jul-19,2019,7,22
2019.07.18,18-Jul-19,2019,7,18
2019.07.17.R,Reported 17-Jul-2019,2019,7,17
2019.07.16,16-Jul-19,2019,7,16
2019.07.12,12-Jul-19,2019,7,12
2019.07.10,10-Jul-19,2019,7,10
2019.07.09,2019.07.09,2019,7,9
2019.07.06,2019.07.06,2019,7,6
2019.07.04,2019.07.04,2019,7,4
2019.06.30,2019.06.30,2019,6,30
2019.06.26,26-Jun-19,2019,6,26
2019.06.16.b,16-Jun-19,2019,6,16
2019.06.16.a,16-Jun-19,2019,6,16
2019.06.10,10-Jun-19,2019,6,10
2019.06.06.R,Reported 06-Jun-2019,2019,6,6
2019.06.05,5-Jun-19,2019,6,5
2019.06.02,2-Jun-19,2019,6,2
2019.05.29,29-May-19,2019,5,29
2019.05.25.b,25-May-19,2019,5,25
2019.05.25.a,25-May-19,2019,5,25
2019.05.14.b,14-May-19,2019,5,14
2019.05.14.a,14-May-19,2019,5,14
2019.05.09,9-May-18,2019,5,9
2019.05.01,1-May-19,2019,5,1
2019.04.27.R,Reported 27-Apr-2019,2019,4,27
2019.04.23,23-Apr-19,2019,4,23
2019.04.21,21-Apr-19,2019,4,21
2019.04.12,12-Apr-19,2019,4,12
2019.04.06.b,6-Apr-19,2019,4,6
2019.04.06.a,6-Apr-19,2019,4,6
2019.04.05,5-Apr-19,2019,4,5
2019.03.26,26-Mar-19,2019,3,26
2019.03.25,25-Mar-19,2019,3,25
2019.03.22,22-Mar-19,2019,3,22
2019.03.21,21-Mar-19,2019,3,21
2019.03.16,Reported 16-Mar-2019,2019,3,16
2019.03.12,12-Mar-19,2019,3,12
2019.03.05.b,5-Mar-19,2019,3,5
2019.03.05.a,5-Mar-19,2019,3,5
2019.02.17,17-Feb-19,2019,2,17
2019.02.14,14-Feb-19,2019,2,14
2019.02.04.b,4-Feb-19,2019,2,4
2019.02.04.a,4-Feb-19,2019,2,4
2019.02.02.b,2-Feb-19,2019,2,2
2019.02.02.a,2-Feb-19,2019,2,2
2019.01.30,30-Jan-19,2019,1,30
2019.01.14,14-Jan-19,2019,1,14
2019.01.08,8-Jan-19,2019,1,8
2018.12.18,18-Dec-18,2018,12,18
2018.12.15.b,15-Dec-18,2018,12,15
2018.12.15.a,15-Dec-18,2018,12,15
2018.12.09.b,9-Dec-18,2018,12,9
2018.12.09.a,9-Dec-18,2018,12,9
2018.11.18,18-Nov-18,2018,11,18
2018.11.17,17-Nov-18,2018,11,17
2018.11.11.b,11-Nov-18,2018,11,11
2018.11.11.a,11-Nov-18,2018,11,11
2018.11.09,9-Nov-18,2018,11,9
2018.11.07.b,7-Nov-18,2018,11,7
2018.11.07.a,7-Nov-18,2018,11,7
2018.11.05,5-Nov-18,2018,11,5
2018.10.24,24-Oct-18,2018,10,24
2018.10.23.c,23-Oct-18,2018,10,23
2018.10.23.b,23-Oct-18,2018,10,23
2018.10.23.a,23-Oct-18,2018,10,23
2018.10.19.b,19-Oct-18,2018,10,19
2018.10.19.a,19-Oct-18,2018,10,19
2018.10.13,13-Oct-18,2018,10,13
2018.10.11,11-Oct-18,2018,10,11
2018.10.08,8-Oct-18,2018,10,8
2018.08.05,5-Aug-18,2018,8,5
2018.08.03,3-Aug-18,2018,8,3
2018.07.29,29-Jul-18,2018,7,29
2018.07.24,24-Jul-18,2018,7,24
2018.07.18.b,18-Jul-18,2018,7,18
2018.07.18.a,18-Jul-18,2018,7,18
2018.07.16.R,Reported 16-Jul-2018,2018,7,16
2018.07.15,15-Jul-18,2018,7,15
2018.07.14.b,14-Jul-18,2018,7,14
2018.07.14.a,14-Jul-18,2018,7,14
2018.07.11.b,13-Jul-18,2018,7,11
2018.07.13.a,13-Jul-18,2018,7,13
2018.07.11,11-Jul-18,2018,7,11
2018.07.09.R,Reported 09-Jul-2018.,2018,7,9
2018.07.02,2-Jul-18,2018,7,2
2018.06.25,25-Jun-18,2018,6,25
2018.06.18.b,18-Jun-18,2018,6,18
2018.06.18.a,18-Jun-18,2018,6,18
2018.06.09,9-Jun-18,2018,6,9
2018.06.08,8-Jun-18,2018,6,8
2018.06.04,4-Jun-18,2018,6,4
2018.06.03.b,3-Jun-18,2018,6,3
2018.06.03.a,3-Jun-18,2018,6,3
2018.05.27,27-May-18,2018,5,27
2018.05.26.b,26-May-18,2018,5,26
2018.05.26.a,26-May-18,2018,5,26
2018.05.24,24-May-18,2018,5,24
2018.05.21,21-May-18,2018,5,21
2018.05.13.b,13-May-18,2018,5,13
2018.05.12,12-May-18,2018,5,12
2018.04.30.R,Reported 30-Apr-2018,2018,4,30
2018.04.28.c,28-Apr-18,2018,4,28
2018.04.28.b,28-Apr-18,2018,4,28
2018.04.28.a,28-Apr-18,2018,4,28
2018.04.25.a,25-Apr-18,2018,4,25
2018.04.24,24-Apr-18,2018,4,24
2018.04.23,23-Apr-18,2018,4,23
2018.04.22,22-Apr-18,2018,4,22
2018.04.19,19-Apr-18,2018,4,19
2018.04.15.d,15-Apr-18,2018,4,15
2018.04.15.c,15-Apr-18,2018,4,15
2018.04.15.b,15-Apr-18,2018,4,15
2018.04.15.a,15-Apr-18,2018,4,15
2018.04.14,14-Apr-18,2018,4,14
2018.04.09,9-Apr-18,2018,4,9
2018.04.05,5-Apr-18,2018,4,5
2018.04.03,3-Apr-18,2018,4,3
2018.03.31,31-Mar-18,2018,3,31
2018.03.14,14-Mar-18,2018,3,14
2018.03.09.b,9-Mar-18,2018,3,9
2018.03.09.a,9-Mar-18,2018,3,9
2018.02.24,24-Feb-18,2018,2,24
2018.02.23,23-Feb-18,2018,2,23
2018.02.17,18-Feb-18,2018,2,17
2018.02.15,15-Feb-18,2018,2,15
2018.02.14,14-Feb-18,2018,2,14
2018.02.03,3-Feb-18,2018,2,3
2018.02.01,1-Feb-18,2018,2,1
2018.01.28,28-Jan-18,2018,1,28
2018.01.21,21-Jan-18,2018,1,21
2018.01.14,14-Jan-18,2018,1,14
2018.01.13,13-Jan-18,2018,1,13
2018.01.12,12-Jan-18,2018,1,12
2018.01.05,5-Jan-18,2018,1,5
2017.12.31,31-Dec-17,2017,12,31
2017.12.30,30-Dec-17,2017,12,30
2017.12.21,21-Dec-17,2017,12,21
2017.12.09,9-Dec-17,2017,12,9
2017.11.30.b,30-Nov-17,2017,11,30
2017.11.30.a,30-Nov-17,2017,11,30
2017.11.25.R,Reported 25-Nov-2017,2017,11,25
2017.11.24,24-Nov-17,2017,11,24
2017.11.18,18-Nov-17,2017,11,18
2017.11.13.R,Reported 13-Nov-2017,2017,11,13
2017.11.13,13-Nov-17,2017,11,13
2017.11.04,4-Nov-17,2017,11,4
2017.11.02,2-Nov-17,2017,11,2
2017.10.31.R,Reported 31-Oct-2017,2017,10,31
2017.10.28,28-Oct-17,2017,10,28
2017.10.26,26-Oct-17,2017,10,26
2017.10.23.c,23-Oct-17,2017,10,23
2017.10.23.b,23-Oct-17,2017,10,23
2017.10.23.a,23-Oct-17,2017,10,23
2017.10.22,22-Oct-17,2017,10,22
2017.10.21,21-Oct-17,2017,10,21
2017.10.18,18-Oct-17,2017,10,18
2017.10.09,9-Oct-17,2017,10,9
2017.10.05,5-Oct-17,2017,10,5
2017.09.25.b,25-Sep-17,2017,9,25
2019.07.22,22-Jul-19,2019,7,22
2017.09.25.a,25-Sep-17,2017,9,25
2017.09.24.a,24-Sep-17,2017,9,24
2017.09.20,20-Sep-17,2017,9,20
2017.09.16.b,16-Sep-17,2017,9,16
2017.09.16.a,16-Sep-17,2017,9,16
2017.09.15.b,15-Sep-17,2017,9,15
2017.09.15.a,15-Sep-17,2017,9,15
2017.09.14,Sep-17,2017,9,14
2017.09.13,13-Sep-17,2017,9,13
2017.09.10.b,10-Sep-17,2017,9,10
2017.09.10.a,10-Sep-17,2017,9,10
2017.09.06.R,Reported 06-Sep-2017,2017,9,6
2017.09.03.b,3-Sep-17,2017,9,3
2017.09.03.a,3-Sep-17,2017,9,3
2017.09.02.c,2-Sep-17,2017,9,2
2017.09.02.b,2-Sep-17,2017,9,2
2017.09.02.a,2-Sep-17,2017,9,2
2017.08.29,29-Aug-17,2017,8,29
2017.08.27,27-Aug-17,2017,8,27
2017.08.26.a,26-Aug-17,2017,8,26
2017.08.23,23-Aug-17,2017,8,23
2017.08.18,18-Aug-17,2017,8,18
2017.08.10,10-Aug-17,2017,8,10
2017.08.05,5-Aug-17,2017,8,5
2017.08.03,3-Aug-17,2017,8,3
2017.08.01,1-Aug-17,2017,8,1
2017.07.31,31-Jul-17,2017,7,31
2017.07.29.c,29-Jul-17,2017,7,29
2017.07.29.a,29-Jul-17,2017,7,29
2017.07.27,27-Jul-17,2017,7,27
2017.07.26.R,Reported 26-Jul-2017,2017,7,26
2017.07.24,24-Jul-17,2017,7,24
2017.07.23.b,23-Jul-17,2017,7,23
2017.07.23.a,23-Jul-17,2017,7,23
2017.07.22,22-Jul-17,2017,7,22
2017.07.20.b,20-Jul-17,2017,7,20
2017.07.20.a,20-Jul-17,2017,7,20
2017.07.14.b,14-Jul-17,2017,7,14
2017.07.14.a,14-Jul-17,2017,7,14
2017.07.11,11-Jul-17,2017,7,11
2017.07.09,9-Jul-17,2017,7,9
2017.07.07.R,Reported 07-Jul-2017,2017,7,7
2017.07.07,7-Jul-17,2017,7,7
2017.06.21,21-Jun-17,2017,6,21
2017.06.19,19-Jun-17,2017,6,19
2017.06.18.b,18-Jun-17,2017,6,18
2017.06.18.a,18-Jun-17,2017,6,18
2017.06.17,17-Jun-17,2017,6,17
2017.06.05,2017.06.05,2017,6,5
2017.06.14.R,Reported 14-Jun-2017,2017,6,14
2017.06.11,11-Jun-17,2017,6,11
2017.06.10.b,10-Jun-17,2017,6,10
2017.06.10.a,10-Jun-17,2017,6,10
2017.06.07.R,Reported 07-Jun-2017,2017,6,7
2017.06.04,4-Jun-17,2017,6,4
2017.06.02,2-Jun-17,2017,6,2
2017.05.30,30-May-17,2017,5,30
2017.05.28,28-May-17,2017,5,28
2017.05.27,27-May-17,2017,5,27
2017.05.12,12-May-17,2017,5,12
2017.05.06.R,Reported 06-May-2017,2017,5,6
2017.05.06,5-May-17,2017,5,6
2017.04.29.d,29-Apr-17,2017,4,29
2017.04.29.c,29-Apr-17,2017,4,29
2017.04.29.b,29-Apr-17,2017,4,29
2017.04.29.a,29-Apr-17,2017,4,29
2017.04.27,27-Apr-17,2017,4,27
2017.04.22,22-Apr-17,2017,4,22
2017.04.17.b,17-Apr-17,2017,4,17
2017.04.17.a,17-Apr-17,2017,4,17
2017.04.14,14-Apr-17,2017,4,14
2017.04.13,13-Apr-17,2017,4,13
2017.04.12.b,12-Apr-17,2017,4,12
2017.04.11,11-Apr-17,2017,4,11
2017.04.10.b,10-Apr-17,2017,4,10
2017.04.10.a,10-Apr-17,2017,4,10
2017.04.06,6-Apr-17,2017,4,6
2017.04.05,5-Apr-17,2017,4,5
2017.04.02.b,2-Apr-17,2017,4,2
2017.04.02.a,2-Apr-17,2017,4,2
2017.03.27,27-Mar-17,2017,3,27
2017.03.19,19-Mar-17,2017,3,19
2017.03.18,18-Mar-17,2017,3,18
2017.03.11,11-Mar-17,2017,3,11
2017.03.09,Reported 09-Mar-2017,2017,3,9
2017.03.01,1-Mar-17,2017,3,1
2017.02.25,25-Feb-17,2017,2,25
2017.02.24,24-Feb-17,2017,2,24
2017.02.21,21-Feb-17,2017,2,21
2017.02.17,17-Feb-17,2017,2,17
2017.02.11,11-Feb-17,2017,2,11
2017.02.06.b,6-Feb-17,2017,2,6
2017.02.06.a,6-Feb-17,2017,2,6
2017.02.01.b,1-Feb-17,2017,2,1
2017.02.01.a,1-Feb-17,2017,2,1
2017.01.24,24-Jan-17,2017,1,24
2017.01.22,22-Jan-17,2017,1,22
2017.01.21,21-Jan-17,2017,1,21
2017.01.13.b,13-Jan-17,2017,1,13
2017.01.13.a,13-Jan-17,2017,1,13
2017.01.09,9-Jan-17,2017,1,9
2017.01.08.R,Reported 08-Jan-2017,2017,1,8
2017.01.05,5-Jan-17,2017,1,5
2016.12.27,27-Dec-16,2016,12,27
2016.12.24,24-Dec-16,2016,12,24
2016.12.19,19-Dec-16,2016,12,19
2016.12.14,14-Dec-16,2016,12,14
2016.12.11.b,11-Dec-16,2016,12,11
2016.12.06,6-Dec-16,2016,12,6
2016.12.01,1-Dec-16,2016,12,1
2016.11.28,28-Nov-16,2016,11,28
2016.11.14,14-Nov-16,2016,11,14
2016.10.30,30-Oct-16,2016,10,30
2016.10.29,29-Oct-16,2016,10,29
