case_number,year,month,day,country,activity,species,type,people_involved,sex,fatal
2020.02.05,2020.0,2.0,5.0,USA,Board_Activity,Tiger,Unprovoked,U,U,N
2020.01.30.R,2020.0,1.0,30.0,BHS,Swimming_Activity,Unknown,Provoked,I,F,N
2020.01.17,2020.0,1.0,17.0,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
2020.01.16,2020.0,1.0,16.0,NZL,Board_Activity,Broad_Nose_Seven_Gill,Unprovoked,I,F,N
2020.01.13,2020.0,1.0,13.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2020.01.12,2020.0,1.0,12.0,OTH,Swimming_Activity,Unknown,Unprovoked,I,M,N
2020.01.07,2020.0,1.0,7.0,AUS,Swimming_Activity,Lemon,Unprovoked,I,F,N
2020.01.05,2020.0,1.0,5.0,AUS,Scuba_Diving_Activity,Great_White,Unprovoked,I,M,Y
2020.01.03,2020.0,1.0,3.0,NCL,Unknown_Activity,Unknown,Unprovoked,I,M,N
2020.01.02,2020.0,1.0,2.0,AUS,Falling_Into_Water,Unknown,Unknown,I,M,Y
2019.12.28,2019.0,12.0,28.0,OTH,Swimming_Activity,Unknown,Unprovoked,I,F,N
2019.12.26.b,2019.0,12.0,26.0,PNG,Spearfishing_Activity,Unknown,Unprovoked,I,M,Y
2019.12.26.a,2019.0,12.0,26.0,ZAF,Ski_Activity,Unknown,Unprovoked,I,M,N
2019.12.24,2019.0,12.0,24.0,NZL,Board_Activity,Unknown,Unprovoked,I,F,N
2019.12.21,2019.0,12.0,21.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2019.12.12,2019.0,12.0,12.0,OTH,Paddle_Boat_Activity,Tiger,Unknown,I,M,Y
2019.12.06,2019.0,12.0,6.0,AUS,Free_Diving_Activity,Unknown,Unprovoked,I,M,N
2019.12.03,2019.0,12.0,3.0,USA,Board_Activity,Tiger,Unprovoked,I,M,N
2019.11.30.b,2019.0,11.0,30.0,USA,Board_Activity,Oceanic_Blacktip,Unprovoked,I,M,N
2019.11.30.a,2019.0,11.0,30.0,AUS,Snorkeling_Activity,Unknown,Unprovoked,I,M,N
2019.11.23,2019.0,11.0,23.0,AUS,Spearfishing_Activity,Unknown,Unknown,I,M,Y
2019.11.23.R,2019.0,11.0,23.0,MEX,Fishing_Activity,Unknown,Provoked,I,M,N
2019.11.22,2019.0,11.0,22.0,OTH,Snorkeling_Activity,Unknown,Unprovoked,I,M,N
2019.11.14,2019.0,11.0,14.0,PYF,Feeding_Activity,Oceanic_Blacktip,Provoked,I,M,N
2019.11.12,2019.0,11.0,12.0,USA,Board_Activity,Oceanic_Blacktip,Unprovoked,I,M,N
2019.11.11,2019.0,11.0,11.0,MEX,Free_Diving_Activity,Unknown,Unprovoked,I,M,N
2019.11.09,2019.0,11.0,9.0,ZAF,Paddle_Boat_Activity,Great_White,Watercraft,I,M,N
2019.11.02,2019.0,11.0,2.0,OTH,Snorkeling_Activity,Tiger,Unknown,I,M,Y
2019.10.29,2019.0,10.0,29.0,AUS,Snorkeling_Activity,Tiger,Unprovoked,I,M,N
2019.10.27,2019.0,10.0,27.0,USA,Board_Activity,Unknown,Provoked,I,M,N
2019.10.21,2019.0,10.0,21.0,PYF,Snorkeling_Activity,Oceanic_Whitetip,Unprovoked,I,F,N
2019.10.17,2019.0,10.0,17.0,AUS,Board_Activity,Unknown,Unprovoked,I,F,N
2019.10.08,2019.0,10.0,8.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2019.10.05.b,2019.0,10.0,5.0,AUS,Board_Activity,Great_White,Unprovoked,I,M,N
2019.10.04.R,2019.0,10.0,4.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2019.09.28,2019.0,9.0,28.0,AUS,Fishing_Activity,Unknown,Provoked,I,M,N
2019.09.26,2019.0,9.0,26.0,USA,Board_Activity,Unknown,Unprovoked,I,F,N
2019.09.24.b,2019.0,9.0,24.0,USA,Swimming_Activity,Unknown,Unprovoked,I,M,N
2019.09.24.a,2019.0,9.0,24.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2019.09.18,2019.0,9.0,18.0,USA,Snorkeling_Activity,Unknown,Unprovoked,I,F,N
2019.09.15,2019.0,9.0,15.0,USA,Unknown_Activity,Unknown,Unprovoked,I,F,N
2019.09.07,2019.0,9.0,7.0,AUS,Spearfishing_Activity,Great_White,Unprovoked,I,M,N
2019.08.31.b,2019.0,8.0,31.0,USA,Spearfishing_Activity,Nurse,Unprovoked,I,M,N
2019.08.31.a,2019.0,8.0,31.0,USA,Unknown_Activity,Unknown,Unprovoked,I,M,N
2019.08.27,2019.0,8.0,27.0,USA,Board_Activity,Unknown,Provoked,I,M,N
2019.08.21,2019.0,8.0,21.0,USA,Wading_Activity,Unknown,Unprovoked,I,M,N
2019.08.20,2019.0,8.0,20.0,USA,Swimming_Activity,Unknown,Unprovoked,I,F,N
2019.08.16,2019.0,8.0,16.0,USA,Wading_Activity,Unknown,Unprovoked,I,F,N
2019.08.11,2019.0,8.0,11.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2019.08.04,2019.0,8.0,4.0,USA,Wading_Activity,Unknown,Unprovoked,I,M,N
2019.08.03.c,2019.0,8.0,3.0,USA,Board_Activity,Unknown,Unprovoked,I,F,N
2019.08.03.b,2019.0,8.0,3.0,USA,Board_Activity,Unknown,Unprovoked,I,F,N
2019.08.03.a,2019.0,8.0,3.0,USA,Spearfishing_Activity,Unknown,Unprovoked,I,M,N
2019.07.30,2019.0,7.0,30.0,USA,Fishing_Activity,Oceanic_Blacktip,Provoked,I,M,N
2019.07.29,2019.0,7.0,29.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2019.07.28,2019.0,7.0,28.0,AUS,Snorkeling_Activity,Unknown,Unprovoked,I,F,N
2019.07.27.b,2019.0,7.0,27.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2019.07.27.a,2019.0,7.0,27.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2019.07.22,2019.0,7.0,22.0,USA,Board_Activity,Sand_Tiger,Unprovoked,I,M,N
2019.07.17.R,2019.0,7.0,17.0,NZL,Scuba_Diving_Activity,Great_White,Unprovoked,I,M,N
2019.07.16,2019.0,7.0,16.0,USA,Board_Activity,Unknown,Unprovoked,I,F,N
2019.07.12,2019.0,7.0,12.0,USA,Board_Activity,Unknown,Unprovoked,I,F,N
2019.07.10,2019.0,7.0,10.0,ZAF,Board_Activity,Great_White,Unprovoked,I,M,N
2019.07.09,2019.0,7.0,9.0,AUS,Board_Activity,Bull,Unprovoked,I,M,N
2019.07.06,2019.0,7.0,6.0,MEX,Fishing_Activity,Unknown,Provoked,I,M,N
2019.07.04,2019.0,7.0,4.0,BHS,Snorkeling_Activity,Unknown,Unprovoked,I,M,N
2019.06.30,2019.0,6.0,30.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2019.06.26,2019.0,6.0,26.0,BHS,Snorkeling_Activity,Unknown,Unprovoked,I,F,Y
2019.06.16.b,2019.0,6.0,16.0,USA,Swimming_Activity,Unknown,Unprovoked,I,M,N
2019.06.16.a,2019.0,6.0,16.0,USA,Swimming_Activity,Bull,Unprovoked,I,M,N
2019.06.10,2019.0,6.0,10.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2019.06.06.R,2019.0,6.0,6.0,AUS,Shellfish_Hunting_Activity,Unknown,Unprovoked,I,M,N
2019.06.05,2019.0,6.0,5.0,AUS,Board_Activity,Unknown,Unknown,I,M,N
2019.06.02,2019.0,6.0,2.0,USA,Wading_Activity,Unknown,Unprovoked,I,F,N
2019.05.29,2019.0,5.0,29.0,NCL,Fishing_Activity,Unknown,Unprovoked,I,M,Y
2019.05.25.b,2019.0,5.0,25.0,USA,Swimming_Activity,Unknown,Unprovoked,I,M,Y
2019.05.25.a,2019.0,5.0,25.0,NCL,Swimming_Activity,Bull,Unprovoked,I,M,N
2019.05.14.b,2019.0,5.0,14.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2019.05.14.a,2019.0,5.0,14.0,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
2019.05.09,2019.0,5.0,9.0,OTH,Board_Activity,Unknown,Unprovoked,I,M,Y
2019.05.01,2019.0,5.0,1.0,USA,Fishing_Activity,Unknown,Unprovoked,I,F,N
2019.04.27.R,2019.0,4.0,27.0,AUS,Spearfishing_Activity,Sand_Tiger,Unprovoked,I,M,N
2019.04.23,2019.0,4.0,23.0,USA,Paddle_Boat_Activity,Tiger,Unprovoked,I,F,N
2019.04.21,2019.0,4.0,21.0,USA,Unknown_Activity,Unknown,Unprovoked,I,M,N
2019.04.12,2019.0,4.0,12.0,USA,Board_Activity,Unknown,Unknown,I,F,N
2019.04.06.b,2019.0,4.0,6.0,USA,Shellfish_Hunting_Activity,Tiger,Unknown,I,M,N
2019.04.06.a,2019.0,4.0,6.0,USA,Swimming_Activity,Cookiecutter,Unprovoked,I,M,N
2019.04.05,2019.0,4.0,5.0,OTH,Tank_Activity,Sand_Tiger,Provoked,I,U,N
2019.03.26,2019.0,3.0,26.0,USA,Paddle_Boat_Activity,Unknown,Watercraft,I,M,N
2019.03.25,2019.0,3.0,25.0,AUS,Swimming_Activity,Grey_Reef,Unprovoked,I,M,N
2019.03.22,2019.0,3.0,22.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2019.03.21,2019.0,3.0,21.0,MEX,Swimming_Activity,Unknown,Unprovoked,I,M,N
2019.03.16,2019.0,3.0,16.0,USA,Swimming_Activity,Cookiecutter,Unprovoked,I,M,N
2019.03.12,2019.0,3.0,12.0,USA,Board_Activity,Spinner,Unprovoked,I,M,N
2019.03.05.b,2019.0,3.0,5.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2019.03.05.a,2019.0,3.0,5.0,ZAF,Fishing_Activity,Unknown,Provoked,I,M,N
2019.02.17,2019.0,2.0,17.0,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
